Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Days,Start Time,End Time,Utilization %
Fall 2026,110,6,"Jones, Angela",30,MCKB,26,30,"M,W",09:30 AM,10:45 AM,100.0%
Fall 2026,345E,1,"Judd, Glenn",30,TMCB,120,41,"T,Th",06:30 PM,07:45 PM,73.2%
Fall 2026,270,1,MJ,42,HBLL,3718,59,"M,W",02:00 PM,03:15 PM,71.2%
Fall 2026,270,2,MJ,72,MARB,130,72,"M,W",12:30 PM,01:45 PM,100.0%
Fall 2026,301R,2,MJ,5,MARB,130,72,"M,W",03:30 PM,04:45 PM,6.9%
Fall 2026,236,4,Mercer,30,TMCB,1170,203,"M,W,F",01:00 PM,01:50 PM,14.8%
Fall 2026,686,1,Mercer,5,MARB,222,269,"M,W,F",10:00 AM,10:50 AM,1.9%
Fall 2026,653,1,Ng,13,JKB,3108,306,"M,W",02:00 PM,03:15 PM,4.2%
Fall 2026,110,2,Page,127,MARB,222,269,"M,W",11:00 AM,12:15 PM,47.2%
Fall 2026,601RB,1,Page,30,CB,377,342,"T,Th",09:30 AM,10:45 AM,8.8%
Fall 2026,111,1,Reynolds,30,ESC,C215,170,"T,Th",12:30 PM,01:45 PM,17.6%
Fall 2026,111,2,Reynolds,167,MARB,222,269,"T,Th",03:30 PM,04:45 PM,62.1%
Fall 2026,393,1,Reynolds,49,MARB,222,269,"M,W",02:00 PM,03:15 PM,18.2%
Fall 2026,452,1,Reynolds,64,JKB,1102,285,"M,W",11:00 AM,12:15 PM,22.5%
Fall 2026,452,2,Reynolds,30,JKB,3108,306,"M,W",12:30 PM,01:45 PM,9.8%
Fall 2026,111,3,Richardson,203,TMCB,1170,203,"T,Th",02:00 PM,03:15 PM,100.0%
Fall 2026,704R,1,Richardson,30,TMCB,1170,203,"T,Th",12:30 PM,01:45 PM,14.8%
Fall 2026,479,1,Ringger,20,JKB,1102,285,"M,W",12:30 PM,01:45 PM,7.0%
Fall 2026,601R,1,Ringger,15,JKB,3108,306,"T,Th",09:30 AM,10:45 AM,4.9%
Fall 2026,340,1,Rodham,30,MARB,222,269,"M,W",12:30 PM,01:45 PM,11.2%
Fall 2026,340,2,Rodham,30,JFSB,B092,125,"M,W",09:30 AM,10:45 AM,24.0%
Fall 2026,324,1,Seamons,81,TMCB,1170,203,"M,W,F",09:00 AM,09:50 AM,39.9%
Fall 2026,574,1,Snell,29,JKB,3108,306,"M,W",03:30 PM,04:45 PM,9.5%
Fall 2026,235,5,Stephens,180,MARB,222,269,"M,W",03:30 PM,04:45 PM,66.9%
Fall 2026,301R,3,Stephens,5,CB,377,342,"T,Th",02:00 PM,03:15 PM,1.5%
Fall 2026,401RT,1,Team:Grimsman/Killian,30,MARB,222,269,"T,Th",09:30 AM,10:45 AM,11.2%
Fall 2026,482T,1,Team:MJ/Snell,30,CB,377,342,"T,Th",03:30 PM,04:45 PM,8.8%
Fall 2026,191/291T,1,"Team:Zappala/Dougal, Duane",30,ESC,C215,170,"T,Th",03:30 PM,04:45 PM,17.6%
Fall 2026,401R,3,Toborg,16,HBLL,3718,59,"T,Th",02:00 PM,03:15 PM,27.1%
Fall 2026,260,2,Ventura,30,JKB,1102,285,"T,Th",12:30 PM,01:45 PM,10.5%
Fall 2026,673,1,Ventura,30,JKB,1102,285,"T,Th",02:00 PM,03:15 PM,10.5%
Fall 2026,580,1,Warnick,31,CB,377,342,"M,W",03:30 PM,04:45 PM,9.1%
Fall 2026,428,1,"Webster, Bruce",32,TMCB,120,41,F,02:00 PM,04:30 PM,78.0%
Fall 2026,240,3,Wilkerson,101,ESC,C215,170,"M,W",09:30 AM,10:45 AM,59.4%
Fall 2026,340,3,Wilkerson,91,ESC,C215,170,"M,W",03:30 PM,04:45 PM,53.5%
Fall 2026,312B,1,Williams,25,TMCB,1170,203,"M,W,F",02:00 PM,02:50 PM,12.3%
Fall 2026,312B,2,Williams,25,HBLL,3718,59,"M,W,F",09:00 AM,09:50 AM,42.4%
Fall 2026,418,1,Williams,70,MARB,130,72,"M,W,F",10:00 AM,10:50 AM,97.2%
Fall 2026,473,1,Wingate,32,JKB,3108,306,"T,Th",02:00 PM,03:15 PM,10.5%
Fall 2026,674,1,Wingate,42,CB,377,342,"M,W",12:30 PM,01:45 PM,12.3%
Fall 2026,465,1,Zappala,50,ESC,C215,170,"M,W",02:00 PM,03:15 PM,29.4%
