Semester,Course,Section,Instructor,Enrollment,Building,Room,Capacity,Priority,Days,Start Time,End Time,Utilization %
Winter 2027,466,1,Seamons,10,CB,377,342,3,"T,Th",09:30 AM,10:45 AM,2.9%
Winter 2027,473,1,Wingate,32,TMCB,120,41,1,"M,W",02:00 PM,03:15 PM,78.0%
Winter 2027,474,1,Jenkins,47,HBLL,3718,59,1,"M,W",09:30 AM,10:45 AM,79.7%
Winter 2027,474,2,Killian,47,HBLL,3718,59,1,"T,Th",12:30 PM,01:45 PM,79.7%
Winter 2027,480T,1,"Team:Rodham/Sillito/Baird, Brad",30,MARB,130,72,1,"T,Th",03:30 PM,04:45 PM,41.7%
Winter 2027,481T,1,"Team:Rodham/Sillito/Baird, Brad",30,JKB,3108,306,2,"T,Th",09:30 AM,10:45 AM,9.8%
Winter 2027,483T,1,Team:MJ/Snell,30,JKB,1102,285,2,"T,Th",09:30 AM,10:45 AM,10.5%
Winter 2027,486,1,Mercer,17,JKB,3108,306,2,"M,W,F",01:00 PM,01:50 PM,5.6%
Winter 2027,493,1,Farrell,30,MARB,222,269,4,"T,Th",03:30 PM,04:45 PM,11.2%
Winter 2027,513,1,Warnick,11,TMCB,120,41,1,"M,W",09:30 AM,10:45 AM,26.8%
Winter 2027,556,1,Hughes,16,TMCB,1170,203,1,"T,Th",12:30 PM,01:45 PM,7.9%
Winter 2027,575,1,Goodrich,12,TMCB,134,42,1,"M,W",11:00 AM,12:15 PM,28.6%
Winter 2027,601R,1,Richardson,22,TMCB,134,42,1,"M,W",03:30 PM,04:45 PM,52.4%
Winter 2027,630,1,Germane,30,TMCB,134,42,1,"T,Th",09:30 AM,10:45 AM,71.4%
Winter 2027,655,1,Egbert,8,JKB,3108,306,2,"T,Th",03:30 PM,04:45 PM,2.6%
Winter 2027,665,1,Seamons,8,TMCB,134,42,1,"M,W",09:30 AM,10:45 AM,19.0%
Winter 2027,677,1,Jenkins,26,TMCB,134,42,1,"T,Th",12:30 PM,01:45 PM,61.9%
Winter 2027,704R,1,Morse,10,TMCB,120,41,1,"M,W",11:00 AM,12:15 PM,24.4%
Winter 2027,712,1,Warnick,30,TMCB,120,41,1,"T,Th",02:00 PM,03:15 PM,73.2%
